144.211.186.0/24,US,US-NJ,Piscataway,08854
144.211.187.0/24,US,US-NJ,Piscataway,08854
144.211.185.0/24,US,US-NJ,Piscataway,08854
144.211.188.0/24,US,US-NJ,Piscataway,08854
144.211.196.0/24,US,US-AZ,Phoenix,
144.211.197.0/24,US,US-AZ,Phoenix,
144.211.199.0/24,US,US-AZ,Phoenix,
144.211.193.0/24,GB,GB-ENG,London,
144.211.194.0/24,GB,GB-ENG,London,
144.211.195.0/24,GB,GB-ENG,London,
144.211.94.0/24,BE,BE-BRU,Brussels,
144.211.198.0/24,ES,ES-M,Madrid,
144.211.107.0/24,HK,,,
144.211.96.0/24,HK,,,
144.211.97.0/24,JP,JP-13,Tokyo,
144.211.211.0/24,GB,GB-ENG,London,
144.211.209.0/24,US,US-DC,Washington DC,
144.211.230.0/24,BR,BR-SP,Brazil,
144.211.208.0/24,US,US-CA,Redwood City,
